Month;M;SD
0;49,1477;1,8627
1;53,6872;1,9542
2;57,0673;2,0362
3;59,8029;2,1051
4;62,0899;2,1645
5;64,0301;2,2174
6;65,7311;2,2664
7;67,2873;2,3154
8;68,7498;2,365
9;70,1435;2,4157
10;71,4818;2,4676
11;72,771;2,5208
12;74,015;2,575
13;75,2176;2,6296
14;76,3817;2,6841
15;77,5099;2,7392
16;78,6055;2,7944
17;79,671;2,849
18;80,7079;2,9039
19;81,7182;2,9582
20;82,7036;3,0129
21;83,6654;3,0672
22;84,604;3,1202
23;85,5202;3,1737
24;85,7153;3,2267
25;86,5904;3,2783
26;87,4462;3,33
27;88,283;3,3812
28;89,1004;3,4313
29;89,8991;3,4809
30;90,6797;3,5302
31;91,443;3,5782
32;92,1906;3,6259
33;92,9239;3,6724
34;93,6444;3,7186
35;94,3533;3,7638
36;95,0515;3,8078
37;95,7399;3,8526
38;96,4187;3,8963
39;97,0885;3,9389
40;97,7493;3,9813
41;98,4015;4,0236
42;99,0448;4,0658
43;99,6795;4,1068
44;100,3058;4,1476
45;100,9238;4,1883
46;101,5337;4,2279
47;102,136;4,2683
48;102,7312;4,3075
49;103,3197;4,3456
50;103,9021;4,3847
51;104,4786;4,4226
52;105,0494;4,4604
53;105,6148;4,4981
54;106,1748;4,5358
55;106,7295;4,5734
56;107,2788;4,6108
57;107,8227;4,6472
58;108,3613;4,6834
59;108,8948;4,7195
60;109,4233;4,7566
